Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
1.1.24,15:39:11,Station,Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,1.1.24,17:00:00,19:15:00,19:15:00,On Time,,No
1.1.24,15:45:47,Online,Contactless,None,First Class,Anytime,20,Liverpool Lime Street,Manchester Piccadilly,1.1.24,17:15:00,17:45:00,17:45:00,On Time,,No
1.1.24,16:03:03,Station,Credit Card,None,First Class,Anytime,19,Manchester Piccadilly,Liverpool Lime Street,1.1.24,17:45:00,18:15:00,18:15:00,On Time,,No
1.1.24,16:41:05,Online,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2.1.24,15:00:00,16:20:00,16:20:00,On Time,,No
1.1.24,17:02:28,Online,Credit Card,Adult,Standard,Anytime,4,Liverpool Lime Street,Manchester Piccadilly,1.1.24,18:30:00,19:00:00,19:00:00,On Time,,No
1.1.24,17:11:31,Online,Credit Card,None,First Class,Advance,54,London St Pancras,Birmingham New Street,2.1.24,15:30:00,16:50:00,16:50:00,On Time,,No
1.1.24,17:17:53,Online,Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,1.1.24,18:45:00,20:05:00,20:05:00,On Time,,No
1.1.24,17:43:02,Station,Debit Card,Disabled,First Class,Advance,35,London Euston,Birmingham New Street,2.1.24,16:00:00,17:20:00,,Cancelled,Technical Issue,No
1.1.24,18:39:18,Online,Credit Card,Adult,Standard,Advance,5,London St Pancras,Birmingham New Street,2.1.24,17:00:00,18:20:00,18:20:00,On Time,,No
1.1.24,19:32:26,Station,Debit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2.1.24,17:45:00,19:05:00,19:05:00,On Time,,No
1.1.24,19:33:56,Station,Credit Card,None,First Class,Advance,54,London St Pancras,Birmingham New Street,2.1.24,18:00:00,19:20:00,19:20:00,On Time,,No
1.1.24,20:22:05,Online,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2.1.24,18:45:00,20:05:00,20:05:00,On Time,,No
1.1.24,20:24:38,Station,Contactless,None,First Class,Advance,57,London Kings Cross,York,2.1.24,17:45:00,19:35:00,19:35:00,On Time,,No
1.1.24,20:54:46,Station,Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2.1.24,19:15:00,19:45:00,19:45:00,On Time,,No
1.1.24,21:46:29,Station,Credit Card,None,First Class,Advance,10,Manchester Piccadilly,Liverpool Lime Street,2.1.24,20:15:00,20:45:00,20:45:00,On Time,,No
1.1.24,21:52:50,Station,Contactless,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2.1.24,20:15:00,20:45:00,20:45:00,On Time,,No
1.1.24,22:44:51,Online,Contactless,Adult,First Class,Advance,6,Manchester Piccadilly,Liverpool Lime Street,2.1.24,0:00:00,0:30:00,0:30:00,On Time,,No
1.1.24,23:06:07,Station,Credit Card,None,First Class,Advance,54,London St Pancras,Birmingham New Street,2.1.24,0:30:00,1:50:00,1:50:00,On Time,,No
2.1.24,0:14:32,Station,Credit Card,Adult,Standard,Off-Peak,17,Oxford,Bristol Temple Meads,2.1.24,22:30:00,23:45:00,23:45:00,On Time,,No
2.1.24,0:24:08,Online,Contactless,None,Standard,Off-Peak,11,York,Durham,2.1.24,1:45:00,2:35:00,2:35:00,On Time,,No
2.1.24,0:26:21,Station,Credit Card,Adult,Standard,Off-Peak,84,Manchester Piccadilly,London Euston,2.1.24,1:45:00,3:35:00,3:35:00,On Time,,No
2.1.24,0:27:40,Online,Contactless,None,Standard,Off-Peak,11,York,Durham,2.1.24,1:45:00,2:35:00,2:35:00,On Time,,No
2.1.24,0:37:20,Online,Credit Card,None,First Class,Off-Peak,41,London Paddington,Reading,2.1.24,2:00:00,3:00:00,3:00:00,On Time,,No
2.1.24,0:54:33,Online,Credit Card,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2.1.24,2:15:00,3:35:00,,Cancelled,Technical Issue,Yes
2.1.24,1:01:01,Online,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,3.1.24,23:30:00,0:00:00,0:00:00,On Time,,No
2.1.24,1:11:57,Online,Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2.1.24,2:30:00,3:00:00,3:00:00,On Time,,No
2.1.24,1:17:27,Online,Contactless,Disabled,Standard,Advance,23,London Kings Cross,York,3.1.24,23:45:00,1:35:00,1:35:00,On Time,,No
2.1.24,1:19:18,Online,Contactless,Disabled,Standard,Advance,5,York,Durham,3.1.24,23:45:00,0:35:00,0:35:00,On Time,,No
2.1.24,1:22:25,Online,Credit Card,None,Standard,Off-Peak,5,Liverpool Lime Street,Manchester Piccadilly,2.1.24,2:45:00,3:15:00,3:15:00,On Time,,No
2.1.24,1:26:15,Online,Contactless,Disabled,Standard,Advance,5,York,Durham,3.1.24,23:45:00,0:35:00,0:35:00,On Time,,No
2.1.24,1:40:08,Online,Contactless,Adult,First Class,Advance,6,Manchester Piccadilly,Liverpool Lime Street,3.1.24,0:00:00,0:30:00,0:30:00,On Time,,No
2.1.24,1:51:12,Station,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,3.1.24,0:15:00,0:45:00,0:45:00,On Time,,No
2.1.24,1:52:53,Station,Credit Card,None,Standard,Off-Peak,19,London Paddington,Reading,2.1.24,3:15:00,4:15:00,4:15:00,On Time,,No
2.1.24,2:13:53,Station,Credit Card,None,First Class,Off-Peak,200,Manchester Piccadilly,London Euston,2.1.24,3:30:00,5:20:00,5:31:00,Delayed,Weather Conditions,No
2.1.24,3:03:36,Online,Contactless,Disabled,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,3.1.24,1:30:00,2:00:00,2:00:00,On Time,,No
2.1.24,3:05:40,Online,Contactless,Disabled,Standard,Advance,5,London St Pancras,Birmingham New Street,3.1.24,1:30:00,2:50:00,2:50:00,On Time,,No
2.1.24,3:12:53,Station,Contactless,None,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,2.1.24,4:30:00,5:50:00,5:50:00,On Time,,No
2.1.24,3:21:34,Online,Credit Card,None,Standard,Advance,86,Manchester Piccadilly,London Paddington,3.1.24,1:45:00,4:00:00,4:00:00,On Time,,No
2.1.24,3:26:31,Station,Contactless,None,Standard,Advance,35,London Kings Cross,York,3.1.24,1:45:00,3:35:00,3:35:00,On Time,,No
2.1.24,3:27:03,Station,Credit Card,None,Standard,Advance,10,Liverpool Lime Street,Leeds,3.1.24,1:45:00,3:15:00,3:15:00,On Time,,No
2.1.24,3:30:17,Station,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,3.1.24,2:00:00,2:30:00,2:30:00,On Time,,No
2.1.24,3:30:57,Online,Credit Card,Disabled,Standard,Advance,8,London Paddington,Reading,3.1.24,2:00:00,3:00:00,3:00:00,On Time,,No
2.1.24,3:32:43,Station,Credit Card,None,First Class,Advance,27,London Paddington,Reading,3.1.24,2:00:00,3:00:00,3:00:00,On Time,,No
2.1.24,3:33:32,Station,Credit Card,None,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,2.1.24,5:00:00,6:20:00,,Cancelled,Staffing,Yes
2.1.24,3:36:25,Station,Credit Card,None,Standard,Advance,13,London Paddington,Reading,3.1.24,2:00:00,3:00:00,3:00:00,On Time,,No
2.1.24,3:38:22,Online,Credit Card,None,Standard,Advance,35,London Kings Cross,York,3.1.24,2:00:00,3:50:00,3:50:00,On Time,,No
2.1.24,3:48:41,Online,Contactless,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2.1.24,5:15:00,6:35:00,6:35:00,On Time,,No
2.1.24,4:24:17,Station,Credit Card,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2.1.24,5:45:00,6:15:00,6:15:00,On Time,,No
2.1.24,4:26:10,Station,Credit Card,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2.1.24,5:45:00,7:05:00,7:05:00,On Time,,No
2.1.24,4:31:39,Online,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,3.1.24,3:00:00,3:30:00,3:30:00,On Time,,No
2.1.24,4:37:26,Online,Contactless,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2.1.24,6:00:00,6:30:00,6:30:00,On Time,,No
2.1.24,4:47:49,Online,Contactless,Adult,Standard,Anytime,47,London Kings Cross,York,2.1.24,6:15:00,8:05:00,8:35:00,Delayed,Technical Issue,No
2.1.24,4:49:16,Station,Credit Card,None,Standard,Advance,13,London Paddington,Reading,3.1.24,3:15:00,4:15:00,4:15:00,On Time,,No
2.1.24,4:49:26,Online,Debit Card,Senior,Standard,Anytime,17,London Paddington,Reading,2.1.24,6:15:00,7:15:00,7:15:00,On Time,,No
2.1.24,4:49:28,Online,Debit Card,Senior,Standard,Anytime,17,London Paddington,Reading,2.1.24,6:15:00,7:15:00,7:15:00,On Time,,No
2.1.24,4:57:54,Online,Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2.1.24,6:15:00,6:45:00,6:45:00,On Time,,No
2.1.24,4:58:57,Online,Debit Card,None,Standard,Anytime,70,London Kings Cross,York,2.1.24,6:15:00,8:05:00,8:35:00,Delayed,Technical Issue,No
2.1.24,4:59:57,Online,Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2.1.24,6:15:00,6:45:00,6:45:00,On Time,,No
2.1.24,5:04:08,Online,Credit Card,None,First Class,Anytime,14,Birmingham New Street,Stafford,2.1.24,6:30:00,7:00:00,7:00:00,On Time,,No
2.1.24,5:04:15,Online,Credit Card,None,Standard,Anytime,13,London Euston,Birmingham New Street,2.1.24,6:30:00,7:50:00,7:50:00,On Time,,No
2.1.24,5:05:21,Online,Credit Card,Disabled,Standard,Anytime,29,Birmingham New Street,London St Pancras,2.1.24,6:30:00,7:50:00,7:50:00,On Time,,No
2.1.24,5:06:12,Station,Credit Card,None,First Class,Anytime,107,London St Pancras,Birmingham New Street,2.1.24,6:30:00,7:50:00,7:50:00,On Time,,No
2.1.24,5:07:05,Station,Credit Card,None,Standard,Advance,84,Manchester Piccadilly,London Euston,3.1.24,3:30:00,5:20:00,5:38:00,Delayed,Weather Conditions,No
2.1.24,5:08:58,Station,Credit Card,Adult,Standard,Anytime,27,Birmingham New Street,London Euston,2.1.24,6:30:00,7:50:00,7:50:00,On Time,,No
2.1.24,5:10:12,Online,Credit Card,Disabled,Standard,Anytime,7,York,Doncaster,2.1.24,6:30:00,7:00:00,7:00:00,On Time,,No
2.1.24,5:10:28,Online,Debit Card,None,Standard,Anytime,143,London Euston,Manchester Piccadilly,2.1.24,6:30:00,8:20:00,8:20:00,On Time,,No
2.1.24,5:11:07,Online,Credit Card,Disabled,Standard,Anytime,43,London St Pancras,Wolverhampton,2.1.24,6:30:00,8:00:00,8:00:00,On Time,,No
2.1.24,5:22:59,Station,Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2.1.24,6:45:00,7:15:00,7:15:00,On Time,,No
2.1.24,5:32:11,Online,Credit Card,Adult,Standard,Advance,23,London Kings Cross,York,3.1.24,4:00:00,5:50:00,5:50:00,On Time,,No
2.1.24,5:39:26,Online,Contactless,None,Standard,Advance,35,London Kings Cross,York,3.1.24,4:00:00,5:50:00,5:50:00,On Time,,No
2.1.24,5:50:39,Online,Credit Card,None,Standard,Anytime,13,London Euston,Birmingham New Street,2.1.24,7:15:00,8:35:00,8:35:00,On Time,,No
2.1.24,6:00:14,Station,Credit Card,None,Standard,Anytime,13,London Euston,Birmingham New Street,2.1.24,7:30:00,8:50:00,8:50:00,On Time,,No
2.1.24,6:01:54,Online,Credit Card,None,Standard,Anytime,70,London Kings Cross,York,2.1.24,7:30:00,9:20:00,9:20:00,On Time,,No
2.1.24,6:04:35,Station,Contactless,None,Standard,Anytime,6,Liverpool Lime Street,Manchester Piccadilly,2.1.24,7:30:00,8:00:00,8:00:00,On Time,,No
2.1.24,6:05:20,Online,Credit Card,None,Standard,Anytime,70,London Kings Cross,York,2.1.24,7:30:00,9:20:00,9:20:00,On Time,,No
2.1.24,6:06:49,Station,Contactless,None,Standard,Advance,8,London St Pancras,Birmingham New Street,3.1.24,4:30:00,5:50:00,5:50:00,On Time,,No
2.1.24,6:08:48,Online,Credit Card,None,Standard,Advance,22,Birmingham New Street,London St Pancras,3.1.24,4:30:00,5:50:00,5:50:00,On Time,,No
2.1.24,6:09:57,Online,Credit Card,None,Standard,Anytime,18,Reading,Swindon,2.1.24,7:30:00,8:15:00,8:15:00,On Time,,No
2.1.24,6:21:22,Station,Credit Card,None,Standard,Anytime,70,London Kings Cross,York,2.1.24,7:45:00,9:35:00,9:35:00,On Time,,No
2.1.24,6:31:43,Online,Contactless,None,Standard,Anytime,13,London Euston,Birmingham New Street,2.1.24,8:00:00,9:20:00,9:20:00,On Time,,No
2.1.24,6:33:00,Station,Credit Card,None,First Class,Anytime,235,Liverpool Lime Street,London Euston,2.1.24,8:00:00,10:15:00,,Cancelled,Staff Shortage,No
2.1.24,6:33:10,Station,Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2.1.24,8:00:00,10:15:00,,Cancelled,Staff Shortage,No
2.1.24,6:34:11,Station,Credit Card,Adult,First Class,Advance,78,Liverpool Lime Street,London Euston,3.1.24,5:00:00,7:15:00,7:15:00,On Time,,No
2.1.24,6:34:46,Station,Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2.1.24,8:00:00,10:15:00,,Cancelled,Staff Shortage,No
2.1.24,6:35:02,Online,Debit Card,None,Standard,Anytime,143,London Euston,Manchester Piccadilly,2.1.24,8:00:00,9:50:00,9:50:00,On Time,,No
2.1.24,6:37:09,Station,Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2.1.24,8:00:00,10:15:00,,Cancelled,Staff Shortage,No
2.1.24,6:38:39,Online,Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,2.1.24,8:00:00,9:20:00,,Cancelled,Signal Failure,No
2.1.24,6:41:24,Online,Contactless,None,Standard,Anytime,34,Oxford,Bristol Temple Meads,2.1.24,8:00:00,9:15:00,9:15:00,On Time,,No
2.1.24,6:42:03,Station,Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2.1.24,8:00:00,10:15:00,,Cancelled,Staff Shortage,No
2.1.24,6:42:12,Station,Credit Card,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,3.1.24,5:00:00,7:15:00,7:15:00,On Time,,No
2.1.24,6:45:49,Online,Credit Card,Adult,Standard,Anytime,11,London St Pancras,Birmingham New Street,2.1.24,8:15:00,9:35:00,9:35:00,On Time,,No
2.1.24,6:58:18,Online,Credit Card,None,Standard,Anytime,13,London Euston,Birmingham New Street,2.1.24,8:15:00,9:35:00,9:35:00,On Time,,No
2.1.24,7:04:40,Online,Credit Card,Adult,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2.1.24,8:30:00,9:00:00,9:00:00,On Time,,No
2.1.24,7:05:39,Station,Credit Card,None,First Class,Advance,10,Manchester Piccadilly,Liverpool Lime Street,3.1.24,5:30:00,6:00:00,6:00:00,On Time,,No
2.1.24,7:16:54,Online,Credit Card,None,Standard,Anytime,35,London Paddington,Oxford,2.1.24,7:45:00,9:15:00,9:15:00,On Time,,No
2.1.24,7:18:16,Online,Contactless,None,Standard,Anytime,25,London Paddington,Reading,2.1.24,8:45:00,9:45:00,9:45:00,On Time,,No
2.1.24,7:20:01,Online,Credit Card,None,Standard,Anytime,25,London Paddington,Reading,2.1.24,7:45:00,8:45:00,8:45:00,On Time,,No
2.1.24,7:23:03,Station,Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,3.1.24,5:45:00,7:05:00,7:05:00,On Time,,No
2.1.24,7:23:13,Station,Contactless,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2.1.24,8:45:00,9:15:00,9:15:00,On Time,,No
2.1.24,7:23:34,Online,Credit Card,None,Standard,Anytime,35,London Paddington,Oxford,2.1.24,7:45:00,9:15:00,9:15:00,On Time,,No
2.1.24,7:24:34,Online,Credit Card,None,Standard,Anytime,70,London Kings Cross,York,2.1.24,7:45:00,9:35:00,9:35:00,On Time,,No
2.1.24,7:28:16,Online,Credit Card,Disabled,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,3.1.24,5:45:00,6:15:00,6:15:00,On Time,,No
2.1.24,7:29:21,Online,Credit Card,None,Standard,Anytime,25,London Paddington,Reading,2.1.24,7:45:00,8:45:00,8:45:00,On Time,,No
2.1.24,7:32:42,Station,Contactless,Adult,Standard,Off-Peak,12,Manchester Piccadilly,Nottingham,2.1.24,9:00:00,10:00:00,10:59:00,Delayed,Signal Failure,No
2.1.24,7:33:03,Station,Contactless,Adult,Standard,Off-Peak,10,Manchester Piccadilly,Leeds,2.1.24,9:00:00,9:45:00,12:39:00,Delayed,Signal Failure,No
2.1.24,7:33:15,Online,Credit Card,None,First Class,Off-Peak,86,London Kings Cross,York,2.1.24,9:00:00,10:50:00,10:50:00,On Time,,No
2.1.24,7:33:23,Online,Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,3.1.24,6:00:00,6:30:00,6:30:00,On Time,,No
2.1.24,7:36:35,Online,Debit Card,Senior,Standard,Off-Peak,35,London Kings Cross,York,2.1.24,9:00:00,10:50:00,10:50:00,On Time,,No
2.1.24,7:36:37,Online,Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,3.1.24,6:00:00,6:30:00,6:30:00,On Time,,No
2.1.24,7:36:53,Online,Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2.1.24,9:00:00,9:30:00,9:30:00,On Time,,No
2.1.24,7:49:40,Online,Credit Card,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,3.1.24,6:15:00,6:45:00,,Cancelled,Signal Failure,Yes
2.1.24,7:50:50,Online,Contactless,Adult,Standard,Off-Peak,3,Manchester Piccadilly,Liverpool Lime Street,2.1.24,9:15:00,9:45:00,9:45:00,On Time,,No
2.1.24,7:54:11,Online,Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,3.1.24,7:15:00,7:45:00,7:45:00,On Time,,No
2.1.24,8:00:20,Online,Credit Card,Disabled,Standard,Advance,4,York,Doncaster,3.1.24,6:30:00,7:00:00,7:00:00,On Time,,No
2.1.24,8:01:16,Online,Credit Card,Disabled,Standard,Advance,15,Birmingham New Street,London St Pancras,3.1.24,6:30:00,7:50:00,7:50:00,On Time,,No
2.1.24,8:02:35,Station,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,3.1.24,6:30:00,7:50:00,7:50:00,On Time,,No
2.1.24,8:11:33,Station,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,3.1.24,6:30:00,7:50:00,7:50:00,On Time,,No
2.1.24,8:15:45,Online,Credit Card,None,Standard,Advance,18,London Paddington,Oxford,3.1.24,7:45:00,9:15:00,9:15:00,On Time,,No
2.1.24,8:19:27,Station,Contactless,Adult,Standard,Off-Peak,35,London Kings Cross,York,2.1.24,9:45:00,11:35:00,,Cancelled,Staff Shortage,No
2.1.24,8:20:40,Online,Credit Card,None,Standard,Advance,13,London Paddington,Reading,3.1.24,7:45:00,8:45:00,8:45:00,On Time,,No
2.1.24,8:24:11,Station,Contactless,Adult,Standard,Advance,23,London Kings Cross,York,3.1.24,6:45:00,8:35:00,8:35:00,On Time,,No
2.1.24,8:27:13,Station,Credit Card,None,Standard,Advance,35,London Kings Cross,York,3.1.24,6:45:00,8:35:00,8:35:00,On Time,,No
2.1.24,8:27:57,Online,Credit Card,None,First Class,Advance,32,London Paddington,Oxford,3.1.24,7:45:00,9:15:00,9:15:00,On Time,,No
2.1.24,8:28:15,Station,Contactless,Adult,Standard,Off-Peak,35,London Kings Cross,York,2.1.24,9:45:00,11:35:00,,Cancelled,Staff Shortage,Yes
2.1.24,8:57:10,Online,Contactless,Adult,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,3.1.24,7:15:00,7:45:00,7:45:00,On Time,,No
2.1.24,9:06:17,Online,Credit Card,None,Standard,Advance,34,York,Peterborough,3.1.24,7:30:00,8:40:00,8:40:00,On Time,,No
2.1.24,9:06:28,Station,Contactless,None,Standard,Off-Peak,53,London Kings Cross,York,2.1.24,10:30:00,12:20:00,12:20:00,On Time,,No
2.1.24,9:06:51,Station,Contactless,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,3.1.24,7:30:00,8:00:00,8:00:00,On Time,,No
2.1.24,9:09:28,Online,Credit Card,None,Standard,Advance,9,Reading,Swindon,3.1.24,7:30:00,8:15:00,8:15:00,On Time,,No
2.1.24,9:10:59,Online,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,3.1.24,7:30:00,8:00:00,8:00:00,On Time,,No
2.1.24,9:11:06,Online,Credit Card,None,Standard,Advance,9,Reading,Swindon,3.1.24,7:30:00,8:15:00,8:15:00,On Time,,No
2.1.24,9:23:03,Station,Credit Card,None,Standard,Off-Peak,5,Liverpool Lime Street,Manchester Piccadilly,2.1.24,10:45:00,11:15:00,11:15:00,On Time,,No
2.1.24,9:28:47,Station,Credit Card,None,Standard,Advance,35,London Kings Cross,York,3.1.24,7:45:00,9:35:00,9:35:00,On Time,,No
2.1.24,9:30:54,Station,Credit Card,None,First Class,Advance,108,London Euston,Manchester Piccadilly,3.1.24,8:00:00,9:50:00,9:50:00,On Time,,No
2.1.24,9:31:53,Station,Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,3.1.24,8:00:00,10:15:00,11:09:00,Delayed,Weather,No
